model-string                            average  coding  data_analysis  instruction_following  language  math  reasoning
                                                                                                               
exl3-turbder-qwen3-32b-exl3-4bpw       60.0    54.8           58.4                   77.8      49.0  64.0       55.9
unsloth-rtx6k-qwen3-32b-ud-q4_k_xl     58.9    48.6           57.3                   77.5      47.7  61.7       60.8
rtx6k-unsloth-qwen3-32b-q4_k_m         58.5    47.9           60.4                   78.8      44.5  63.1       56.2
vllm-qwen-qwen3-32b-bf16               58.2    43.9           59.0                   76.6      47.0  62.3       60.2
vllm-unsloth-qwen3-32b-fp8             57.9    47.9           60.4                   75.8      46.8  59.9       56.8
vllm-rh-qwen-qwen3-32b-nvfp4a16        57.0    49.3           59.1                   75.4      41.6  60.0       56.5
vllm-qwen-qwen3-32b-awq                57.0    46.9           58.2                   76.4      47.2  60.6       52.5
vllm-rh-qwen-qwen3-32b-nvfp4           56.7    52.9           58.3                   76.2      41.6  59.9       51.2
m3ult-qwen-qwen3-32b-mlx-4bit          50.6    49.9           54.5                   72.8      36.3  45.7       44.7
